Date,Open,High,Low,Close,Adj Close,Volume,Stock/Index
2023-01-02,43038.25,43382.75,42961.75,43203.1015625,43203.1015625,1798102100,Nifty Bank Index
2023-01-03,43151.44921875,43482.80078125,43148.44921875,43425.25,43425.25,197000,Nifty Bank Index
2023-01-04,43417.5,43578.3984375,42858.6484375,42958.80078125,42958.80078125,216800,Nifty Bank Index
2023-01-05,43073.05078125,43137.55078125,42298.6015625,42608.69921875,42608.69921875,189100,Nifty Bank Index
2023-01-06,42649.69921875,42685.8984375,41877.0,42188.80078125,42188.80078125,195100,Nifty Bank Index
2023-01-09,42404.8515625,42716.80078125,42186.55078125,42582.75,42582.75,161800,Nifty Bank Index
2023-01-10,42642.0,42674.25,41835.75,42014.75,42014.75,179300,Nifty Bank Index
2023-01-11,42071.8515625,42318.0,41729.0,42232.69921875,42232.69921875,169800,Nifty Bank Index
2023-01-12,42238.5,42343.5,41742.94921875,42082.25,42082.25,154100,Nifty Bank Index
2023-01-13,42171.25,42453.94921875,41885.6015625,42371.25,42371.25,205500,Nifty Bank Index
2023-01-16,42622.5,42715.6484375,42066.55078125,42167.55078125,42167.55078125,312300,Nifty Bank Index
2023-01-17,42241.19921875,42383.80078125,41861.1015625,42235.05078125,42235.05078125,256300,Nifty Bank Index
2023-01-18,42271.80078125,42555.8984375,42119.6484375,42458.0,42458.0,170500,Nifty Bank Index
2023-01-19,42416.30078125,42506.25,42234.8984375,42328.8515625,42328.8515625,143400,Nifty Bank Index
2023-01-20,42516.05078125,42709.19921875,42366.1484375,42506.80078125,42506.80078125,159100,Nifty Bank Index
2023-01-23,42891.44921875,43005.8515625,42727.69921875,42821.25,42821.25,203600,Nifty Bank Index
2023-01-24,42994.44921875,43078.8984375,42615.6484375,42733.44921875,42733.44921875,159500,Nifty Bank Index
2023-01-25,42703.6015625,42733.05078125,41540.30078125,41647.6484375,41647.6484375,244700,Nifty Bank Index
2023-01-27,41382.3515625,41417.8984375,40148.80078125,40345.30078125,40345.30078125,350800,Nifty Bank Index
2023-01-30,39856.1484375,40789.55078125,39419.80078125,40387.44921875,40387.44921875,369900,Nifty Bank Index
2023-01-31,40563.8515625,40811.6484375,40167.69921875,40655.05078125,40655.05078125,289900,Nifty Bank Index
2023-02-01,41115.0,42015.6484375,39490.5,40513.0,40513.0,400100,Nifty Bank Index
2023-02-02,39943.3515625,40757.6015625,39761.44921875,40669.30078125,40669.30078125,348500,Nifty Bank Index
2023-02-03,41019.3515625,41539.94921875,40609.75,41499.69921875,41499.69921875,308800,Nifty Bank Index
2023-02-06,41530.1484375,41724.5,41261.19921875,41374.6484375,41374.6484375,197800,Nifty Bank Index
2023-02-07,41513.1015625,41630.75,41095.1015625,41490.94921875,41490.94921875,171900,Nifty Bank Index
2023-02-08,41542.05078125,41791.94921875,41403.05078125,41537.6484375,41537.6484375,136500,Nifty Bank Index
2023-02-09,41634.0,41634.0,41252.94921875,41554.30078125,41554.30078125,142900,Nifty Bank Index
2023-02-10,41452.3984375,41678.8984375,41424.8984375,41559.3984375,41559.3984375,155000,Nifty Bank Index
2023-02-13,41563.5,41662.55078125,41157.8984375,41282.19921875,41282.19921875,147000,Nifty Bank Index
2023-02-14,41410.44921875,41718.0,41195.75,41648.3515625,41648.3515625,143100,Nifty Bank Index
2023-02-15,41674.6015625,41795.44921875,41455.6015625,41731.05078125,41731.05078125,116300,Nifty Bank Index
2023-02-16,41925.69921875,41979.1015625,41521.94921875,41631.3515625,41631.3515625,111700,Nifty Bank Index
2023-02-17,41514.0,41516.30078125,40882.69921875,41131.75,41131.75,138800,Nifty Bank Index
