Stock/Index,Open,High,Low,Close,Adj Close,Volume,Date
HDFC Bank,1622.050049,1639,1618.650024,1629.150024,1588.99707,125622,02-01-2023
HDFC Bank,1624.550049,1643.599976,1624.550049,1639.699951,1599.286987,175881,03-01-2023
HDFC Bank,1635,1645.75,1607.449951,1610.550049,1570.855591,155737,04-01-2023
HDFC Bank,1614.300049,1618.199951,1590,1599.699951,1560.272827,152796,05-01-2023
HDFC Bank,1599.75,1608.900024,1578.5,1594.349976,1555.054688,175478,06-01-2023
HDFC Bank,1595.800049,1611,1590.050049,1597.400024,1558.029663,196695,09-01-2023
HDFC Bank,1597.449951,1598.050049,1565.150024,1569.300049,1530.622192,195939,10-01-2023
HDFC Bank,1570.599976,1598,1560.050049,1590.800049,1551.592285,132591,11-01-2023
HDFC Bank,1585.25,1603.800049,1584.349976,1599.699951,1560.272827,109871,12-01-2023
HDFC Bank,1598,1609.949951,1586.099976,1600.849976,1561.394531,92544,13-01-2023
HDFC Bank,1624.400024,1624.400024,1580.150024,1585.25,1546.179077,282529,16-01-2023
HDFC Bank,1592,1610.800049,1577.699951,1608.599976,1568.953613,261717,17-01-2023
HDFC Bank,1607.900024,1641,1601,1636.949951,1596.604858,161546,18-01-2023
HDFC Bank,1630.050049,1649.349976,1630.050049,1644.099976,1603.578613,94163,19-01-2023
HDFC Bank,1643.800049,1668,1642.599976,1660.800049,1619.867065,758155,20-01-2023
HDFC Bank,1661.25,1683.300049,1661.25,1672.650024,1631.424927,85267,23-01-2023
HDFC Bank,1677.699951,1702,1675.5,1695.300049,1653.516724,127434,24-01-2023
HDFC Bank,1688.5,1692.699951,1645.349976,1648.199951,1607.577515,137329,25-01-2023
HDFC Bank,1644.150024,1644.150024,1590.349976,1615.849976,1576.024902,153631,27-01-2023
HDFC Bank,1602,1625,1582.050049,1614.300049,1574.513184,197159,30-01-2023
HDFC Bank,1617.800049,1622.699951,1595,1603.449951,1563.93042,172413,31-01-2023
HDFC Bank,1616.25,1664.150024,1606.75,1627.050049,1586.948975,423801,01-02-2023
HDFC Bank,1614.949951,1623.699951,1589.150024,1603.25,1563.735474,94943,02-02-2023
HDFC Bank,1617,1660.099976,1609.800049,1658.699951,1617.818726,201802,03-02-2023
HDFC Bank,1658.699951,1669.25,1646.650024,1651.75,1611.040039,59797,06-02-2023
HDFC Bank,1652.349976,1661,1632.25,1653.400024,1612.649414,105902,07-02-2023
HDFC Bank,1651.550049,1668.099976,1648.099976,1653.599976,1612.84436,55799,08-02-2023
HDFC Bank,1661,1661,1635.5,1649.300049,1608.650513,55343,09-02-2023
HDFC Bank,1646,1658.5,1643.199951,1656.449951,1615.624146,43596,10-02-2023
HDFC Bank,1656.449951,1661.849976,1644.449951,1658.599976,1617.721191,58313,13-02-2023
HDFC Bank,1661,1677.400024,1659,1673.300049,1632.05896,133486,14-02-2023
HDFC Bank,1673,1676.349976,1657.400024,1668.699951,1627.572266,54882,15-02-2023
HDFC Bank,1670.599976,1681.349976,1661,1664.75,1623.719604,54057,16-02-2023
HDFC Bank,1640,1667,1640,1656.300049,1615.477905,102540,17-02-2023
HDFC Bank,1657.550049,1668.699951,1634.550049,1639.800049,1599.384644,119852,20-02-2023
HDFC Bank,1637,1661.449951,1635,1646.949951,1606.358398,58177,21-02-2023
HDFC Bank,1639.199951,1642.050049,1608.900024,1614.550049,1574.756958,109948,22-02-2023
HDFC Bank,1613.050049,1616.599976,1592.300049,1603.349976,1563.833008,149432,23-02-2023
HDFC Bank,1619.349976,1619.349976,1585.25,1588.449951,1549.300171,99482,24-02-2023
HDFC Bank,1585,1598.599976,1577.150024,1592.650024,1553.396729,65707,27-02-2023
